225,72591
225,72591
215,966803
215,966803
203,600301
203,600301
214,998342
214,998342
246,734064
246,734064
403,02877
403,02877
485,124464
485,124464
486,837895
486,837895
463,147849
463,147849
458,827023
458,827023
439,383306
439,383306
436,030941
436,030941
415,767757
415,767757
413,45835
413,45835
418,747637
418,747637
522,000479
522,000479
609,534454
609,534454
489,892272
489,892272
371,293048
371,293048
296,796048
296,796048
267,593224
267,593224
243,158208
243,158208
202,780834
202,780834
194,288176
194,288176
192,20226
192,20226
189,669362
189,669362
192,94723
192,94723
209,858049
209,858049
252,470333
252,470333
410,329476
410,329476
455,027676
455,027676
466,872699
466,872699
482,815057
482,815057
461,285424
461,285424
436,55242
436,55242
430,667157
430,667157
409,361015
409,361015
390,513274
390,513274
536,452897
536,452897
770,29898
770,29898
920,931914
920,931914
562,750338
562,750338
390,736765
390,736765
310,875981
310,875981
