"Name","Created","dropout","hidden_size","layers","learning_rate","sequence_length","batch_size","val_SMAPE","best_val_SMAPE","State","Notes","User","Tags","Runtime","Sweep","include_price_history_as_input","include_remaining_2024_in_prepared_train_data","max_epochs","num_combinations","patience","predict_period","price_zone","split_setup","stride","train_window","val_start","val_window","combination","epoch","patience_counter","best_epoch","epochs_trained"
"layers2_dropout0.2_batchsize64_seq_len24_hidden32_lr0.001_comb054","2026-05-04T12:16:54.000Z","0.2","32","2","0.001","24","64","80.67070363024902","75.54607100159362","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","196","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","54","37","10","27","37"
"layers2_dropout0.0_batchsize64_seq_len24_hidden32_lr0.001_comb053","2026-05-04T12:11:37.000Z","0","32","2","0.001","24","64","66.40061888403217","65.14273076750284","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","316","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","53","60","6","54","60"
"layers2_dropout0.2_batchsize32_seq_len168_hidden32_lr0.001_comb052","2026-05-04T12:06:35.000Z","0.2","32","2","0.001","168","32","77.77283976078438","64.33605222119527","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","301","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","52","45","10","35","45"
"layers2_dropout0.0_batchsize32_seq_len168_hidden32_lr0.001_comb051","2026-05-04T11:59:55.000Z","0","32","2","0.001","168","32","68.30497970441286","66.9746959059546","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","399","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","51","60","2","58","60"
"layers2_dropout0.2_batchsize32_seq_len24_hidden32_lr0.001_comb050","2026-05-04T11:56:56.000Z","0.2","32","2","0.001","24","32","80.00474820974833","69.95787461805662","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","178","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","50","31","10","21","31"
"layers2_dropout0.0_batchsize32_seq_len24_hidden32_lr0.001_comb049","2026-05-04T11:51:43.000Z","0","32","2","0.001","24","32","65.51630331162363","62.52246321068041","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","312","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","49","55","10","45","55"
"layers1_dropout0.0_batchsize64_seq_len168_hidden32_lr0.0005_comb047","2026-05-04T11:45:40.000Z","0","32","1","0.0005","168","64","74.39007785862661","72.31632228862726","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","362","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","47","60","1","59","60"
"layers1_dropout0.0_batchsize64_seq_len24_hidden32_lr0.0005_comb045","2026-05-04T11:40:30.000Z","0","32","1","0.0005","24","64","76.36956330423942","74.09003935223475","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","309","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","45","60","6","54","60"
"layers1_dropout0.0_batchsize32_seq_len168_hidden32_lr0.0005_comb043","2026-05-04T11:35:47.000Z","0","32","1","0.0005","168","32","72.2423488255143","68.41316525233638","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","282","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","43","43","10","33","43"
"layers1_dropout0.0_batchsize32_seq_len24_hidden32_lr0.0005_comb041","2026-05-04T11:31:38.000Z","0","32","1","0.0005","24","32","73.52359870178685","67.13297221232224","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","247","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","41","44","10","34","44"
"layers1_dropout0.0_batchsize64_seq_len168_hidden32_lr0.001_comb039","2026-05-04T11:26:41.000Z","0","32","1","0.001","168","64","68.61202522297285","67.59369778447322","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","296","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","39","49","10","39","49"
"layers1_dropout0.0_batchsize64_seq_len24_hidden32_lr0.001_comb037","2026-05-04T11:21:30.000Z","0","32","1","0.001","24","64","63.223638059141614","63.223638059141614","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","310","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","37","60","0","60","60"
"layers1_dropout0.0_batchsize32_seq_len168_hidden32_lr0.001_comb035","2026-05-04T11:16:55.000Z","0","32","1","0.001","168","32","69.0880696545442","66.24473469811404","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","274","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","35","42","10","32","42"
"layers1_dropout0.0_batchsize32_seq_len24_hidden32_lr0.001_comb033","2026-05-04T11:14:06.000Z","0","32","1","0.001","24","32","70.07790992336696","68.28969151103051","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","168","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","33","30","10","20","30"
"layers2_dropout0.2_batchsize64_seq_len168_hidden16_lr0.0005_comb032","2026-05-04T11:07:58.000Z","0.2","16","2","0.0005","168","64","100.34962121850997","100.34962121850997","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","367","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","32","60","0","60","60"
"layers2_dropout0.0_batchsize64_seq_len168_hidden16_lr0.0005_comb031","2026-05-04T11:01:51.000Z","0","16","2","0.0005","168","64","102.66791286557527","102.66791286557527","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","366","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","31","60","0","60","60"
"layers2_dropout0.2_batchsize64_seq_len24_hidden16_lr0.0005_comb030","2026-05-04T10:56:36.000Z","0.2","16","2","0.0005","24","64","102.84396726946576","102.84396726946576","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","314","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","30","60","0","60","60"
"layers2_dropout0.0_batchsize64_seq_len24_hidden16_lr0.0005_comb029","2026-05-04T10:51:21.000Z","0","16","2","0.0005","24","64","102.84261173731728","102.82399470526512","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","313","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","29","60","1","59","60"
"layers2_dropout0.2_batchsize32_seq_len168_hidden16_lr0.0005_comb028","2026-05-04T10:44:42.000Z","0.2","16","2","0.0005","168","32","75.34137718792465","74.50155048356541","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","398","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","28","60","1","59","60"
"layers2_dropout0.0_batchsize32_seq_len168_hidden16_lr0.0005_comb027","2026-05-04T10:38:02.000Z","0","16","2","0.0005","168","32","76.8044824512303","75.59163514974864","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","398","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","27","60","8","52","60"
"layers2_dropout0.2_batchsize32_seq_len24_hidden16_lr0.0005_comb026","2026-05-04T10:32:20.000Z","0.2","16","2","0.0005","24","32","73.91450074658746","73.91450074658746","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","341","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","26","60","0","60","60"
"layers2_dropout0.0_batchsize32_seq_len24_hidden16_lr0.0005_comb025","2026-05-04T10:26:39.000Z","0","16","2","0.0005","24","32","69.68204355743002","69.68204355743002","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","340","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","25","60","0","60","60"
"layers2_dropout0.2_batchsize64_seq_len168_hidden16_lr0.001_comb024","2026-05-04T10:20:32.000Z","0.2","16","2","0.001","168","64","74.48268921210304","73.45207632613219","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","366","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","24","60","2","58","60"
"layers2_dropout0.0_batchsize64_seq_len168_hidden16_lr0.001_comb023","2026-05-04T10:14:25.000Z","0","16","2","0.001","168","64","71.75366695162118","69.02103809494366","finished","-","","cross-validation, early-stopping, hyperparameter-search, rnn","366","","true","true","60","64","10","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","23","60","1","59","60"
