fe_latent_dim,fe_dense_layers,enc_hidden_size,enc_layers,dec_hidden_size,dec_layers,encoder_dropout,decoder_dropout,encoder_hidden_size,encoder_layers,decoder_hidden_size,decoder_layers,learning_rate,max_epochs,patience,batch_size,sequence_length,best_epoch,epochs_trained,price_zone,train_window,val_start,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
33,1,33,2,48,2,"0,2","0,0",33,2,48,2,"0,0005",60,20,64,24,46,60,DK1,2 years,2024-01-01,"74,28518154029172","263,0498013968912","218,7153326564766","74,28518154029172","249,97511770945462","218,71533265647662","74,28518154029173","55,576748270659635","59,541484467786546","55,80602338807648","65,76859106855228","77,70963072201863","98,7336090644772","106,86018380047125"
33,1,48,1,33,2,"0,0","0,0",48,1,33,2,"0,0005",60,20,32,168,33,53,DK1,2 years,2024-01-01,"74,28632097458728","254,26111307249647","211,66057469297078","74,28632097458728","241,24380206777406","211,66057469297075","74,2863209745873","57,639438652663074","56,07599144137599","60,86731352165609","74,52897163302212","77,93581894888018","94,58504543564126","98,37166718887234"
33,1,48,1,28,2,"0,0","0,0",48,1,28,2,"0,001",60,20,64,24,37,57,DK1,2 years,2024-01-01,"74,29706055949597","256,836923634255","211,3323208993968","74,29706055949597","242,64584823070052","211,33232089939682","74,29706055949597","54,96726067002381","57,91812308538631","60,091326327407366","66,89851535177738","75,14228568018234","100,0782717614893","104,98364104020526"
33,1,48,1,48,2,"0,0","0,2",48,1,48,2,"0,001",60,20,32,24,60,60,DK1,2 years,2024-01-01,"74,36266356899529","251,49547332121693","209,89677160272907","74,36266356899529","237,6496855705215","209,89677160272907","74,3626635689953","57,59560228273383","55,34545622218464","54,90774674946147","68,46230174919282","76,90393502050722","99,82225906346176","107,50134389542532"
33,1,48,2,33,1,"0,0","0,0",48,2,33,1,"0,001",60,20,32,168,15,35,DK1,2 years,2024-01-01,"74,45890828060146","274,1299303258748","229,68379131768165","74,45890828060146","256,84149093605976","229,68379131768165","74,45890828060146","57,378948175832264","48,494023018683336","59,31621611500633","71,50678308286831","81,63301770260101","97,55817258023393","105,32519728898508"
33,1,33,2,48,1,"0,2","0,0",33,2,48,1,"0,0005",60,20,32,168,27,47,DK1,2 years,2024-01-01,"74,46796987883414","257,55706564212977","213,00592408431447","74,46796987883414","241,661883405461","213,00592408431447","74,46796987883413","51,26214958628614","51,716587388661196","58,64957724200876","71,42186954554997","90,80658638094489","107,14308174152295","90,27593726686506"
33,1,48,2,48,2,"0,2","0,2",48,2,48,2,"0,0005",60,20,32,24,45,60,DK1,2 years,2024-01-01,"74,50468350210188","256,021075812388","215,238305599221","74,50468350210188","242,51815644494818","215,23830559922104","74,50468350210187","54,55334874062346","43,1592292173973","51,757864697888685","77,49681015418957","82,85783651555693","99,76437303291594","111,94332215614125"
33,1,48,2,48,1,"0,2","0,0",48,2,48,1,"0,001",60,20,64,24,22,42,DK1,2 years,2024-01-01,"74,56339906172187","257,7330638142001","216,14051697701183","74,56339906172187","241,1152636976095","216,1405169770118","74,56339906172187","52,07065979623526","49,141721813236174","63,03234671163932","73,92641159071937","78,59535412997883","101,24892299301234","103,92837639723173"
33,1,48,2,33,2,"0,2","0,2",48,2,33,2,"0,0005",60,20,64,24,60,60,DK1,2 years,2024-01-01,"74,61032596823901","270,4444457714619","224,4647528277942","74,61032596823901","254,66742969873164","224,4647528277942","74,610325968239","54,04154578420089","53,083370403489795","61,618243941218665","69,60517998921935","79,2068638860238","95,36596614485796","109,35111162866261"
33,1,48,2,33,2,"0,2","0,2",48,2,33,2,"0,001",60,20,32,24,51,60,DK1,2 years,2024-01-01,"74,61450808237521","256,0407732103732","213,43830839915356","74,61450808237521","239,06877314135423","213,43830839915358","74,61450808237521","54,66345931472432","48,546860413879735","53,3020313142065","75,45326360517156","85,14729599686665","98,91927782278852","106,26936810898923"
33,1,48,2,28,2,"0,0","0,0",48,2,28,2,"0,0005",60,20,32,168,43,60,DK1,2 years,2024-01-01,"74,66291076419284","258,186867258068","213,5705580843234","74,66291076419284","243,6305471551545","213,57055808432347","74,66291076419283","55,02945116118194","53,3810813050716","57,55607141634373","71,44325552042638","70,99906070474083","101,90817391574356","112,3232813258418"
33,1,48,1,33,2,"0,0","0,2",48,1,33,2,"0,001",60,20,64,168,36,56,DK1,2 years,2024-01-01,"74,72324021810394","261,4872386213875","217,09104947084222","74,72324021810394","246,39736388485204","217,09104947084217","74,72324021810395","54,0263675255877","64,5618214092227","60,650271194751696","62,86147007468289","74,30455307411172","102,1140805378451","104,54411771052585"
