hidden_size;SEQ_LEN;learning_rate;epochs;batch_size;layers;price_zone;target_time;eval_start_anchor;eval_window_end;eval_window_hours;eval_chunk_hours;eval_chunk_stride_hours;eval_num_chunks;avg_weekly_smape;avg_mae;avg_rmse;max_avg_daily_smape_pct;min_avg_daily_smape_pct;status;error;used_chunks;first_chunk_start;last_chunk_start;smape_day_1_pct;smape_day_2_pct;smape_day_3_pct;smape_day_4_pct;smape_day_5_pct;smape_day_6_pct;smape_day_7_pct
16;24;0,0001;50;32;2;DK1;2024-01-01 00:00:00;2024-01-01 00:00:00;2025-01-01 00:00:00;8784;168;504;18;50,522017831331375;251,3018937591445;319,52226410657636;151,27660689722947;9,293485764745204;ok;;18;2024-01-01 00:00:00;2024-12-23 00:00:00;42,77645916984213;49,6128837857498;44,622731625941;35,02386390448501;41,804741845634645;60,26294169251134;79,55050279515567
32;24;0,001;20;32;2;DK1;2024-01-01 00:00:00;2024-01-01 00:00:00;2025-01-01 00:00:00;8784;168;504;18;50,52897638911919;251,29564115224028;319,4684947047038;151,14501896482852;9,587227672845659;ok;;18;2024-01-01 00:00:00;2024-12-23 00:00:00;42,167759781355215;48,978112920452915;44,689567131737235;35,21921118697118;42,002614025542805;60,66370960127612;79,98186007649878
16;24;0,0001;20;32;1;DK1;2024-01-01 00:00:00;2024-01-01 00:00:00;2025-01-01 00:00:00;8784;168;504;18;50,66526450754629;251,07273796908007;318,4450652650426;151,49131246137298;8,76462474333346;ok;;18;2024-01-01 00:00:00;2024-12-23 00:00:00;46,40394911777795;49,33515976359379;44,28151264896536;34,75008413098916;41,54860056672698;59,578342055015874;78,75920326975489
16;168;0,001;100;16;1;DK1;2024-01-01 00:00:00;2024-01-01 00:00:00;2025-01-01 00:00:00;8784;168;504;18;50,7276626057167;234,74722158377543;286,9166072143805;150,77344779468447;11,558168697677766;ok;;18;2024-01-01 00:00:00;2024-12-23 00:00:00;40,65873602939111;50,38697227505952;48,31804698484977;40,09508935769323;44,38857267750072;56,165778285417495;75,08044263010513
16;168;0,0001;20;32;1;DK1;2024-01-01 00:00:00;2024-01-01 00:00:00;2025-01-01 00:00:00;8784;168;504;18;50,74686927369238;251,8314407917632;319,26075043556114;151,46063713993144;8,82212885013964;ok;;18;2024-01-01 00:00:00;2024-12-23 00:00:00;46,60836725398787;49,38770707112608;44,33147653258638;34,78668971307687;41,58039386527738;59,6706000409628;78,86285043882933
16;24;0,0005;20;16;1;DK1;2024-01-01 00:00:00;2024-01-01 00:00:00;2025-01-01 00:00:00;8784;168;504;18;50,756584044890054;231,0966679255786;290,45885349335845;155,64185699291508;9,368076885236652;ok;;18;2024-01-01 00:00:00;2024-12-23 00:00:00;45,496470155472;50,330757043822295;47,48034371991744;42,219811338214264;46,4256939696933;53,5381048551326;69,80490723197852
64;168;0,001;50;32;1;DK1;2024-01-01 00:00:00;2024-01-01 00:00:00;2025-01-01 00:00:00;8784;168;504;18;50,75769573953626;223,29212096297;275,08251542725895;153,45136390541373;9,577581261585095;ok;;18;2024-01-01 00:00:00;2024-12-23 00:00:00;39,92107372020546;47,331603099212856;46,03586053669571;42,21456480354984;48,53169604496114;57,280720681447924;73,98835129068085
64;168;0,0001;20;32;1;DK1;2024-01-01 00:00:00;2024-01-01 00:00:00;2025-01-01 00:00:00;8784;168;504;18;50,76047423717714;253,3537871815444;321,5056371543256;151,03444311831245;9,53402475417379;ok;;18;2024-01-01 00:00:00;2024-12-23 00:00:00;42,53880223478525;49,02153779534618;44,823230784182265;35,38618775720189;42,16460618472159;61,00707571657011;80,38187918743273
16;24;0,0001;50;32;1;DK1;2024-01-01 00:00:00;2024-01-01 00:00:00;2025-01-01 00:00:00;8784;168;504;18;50,788405592091436;253,6038729197273;321,8808316737371;151,16442028110347;9,57000012578195;ok;;18;2024-01-01 00:00:00;2024-12-23 00:00:00;43,240968962504645;49,756217183921564;44,82693526428332;35,21475120366388;41,97076023641597;60,59553125422872;79,9136750396219
16;24;0,001;20;16;1;DK1;2024-01-01 00:00:00;2024-01-01 00:00:00;2025-01-01 00:00:00;8784;168;504;18;50,80071820156448;254,123483778325;322,6752998877859;151,030016647957;9,543558054829044;ok;;18;2024-01-01 00:00:00;2024-12-23 00:00:00;42,11470331689274;49,46675185167621;44,979055704860315;35,4430291247976;42,177280628557725;61,024211664004575;80,39999512016217
