n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,subsample_freq,colsample_bytree,reg_alpha,reg_lambda,train_window,val_start,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
200,"0,01",15,-1,50,"1,0",1,"1,0","0,0","0,0",3 years,2024-01-01,"70,70276571341716","484,865315957308","427,48307445353566","70,70276571341716","462,5829576425752","427,48307445353566","70,70276571341716","59,80435053438041","64,72728375239737","63,14662827028366","61,128663788686715","57,2317744536476","82,68980175883715","106,19085743568719"
200,"0,01",15,-1,50,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"70,92555175769265","486,673222015056","430,05400387897873","70,92555175769265","465,03635984473493","430,05400387897873","70,92555175769265","60,2081216738531","65,51522990159236","63,79422907378239","61,53915828501792","57,110095117958735","82,36783545890187","105,94419279274211"
200,"0,01",15,-1,1,"1,0",1,"1,0","0,0","0,0",3 years,2024-01-01,"70,93079701841319","486,3558871880071","430,23702254950626","70,93079701841319","465,3251379087482","430,23702254950615","70,93079701841317","61,22171250919341","65,96153291063274","63,88628381747276","61,213300618597444","56,711621125089366","81,94518806303589","105,57594008487064"
200,"0,01",15,-1,20,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"71,17949378266475","489,3546242491401","432,9696084178079","71,17949378266475","467,9777775183594","432,96960841780793","71,17949378266475","60,72226154513213","65,953110347803","64,09259219223125","61,664651210258384","57,25435434786445","82,53934517080454","106,03014166455955"
200,"0,01",15,-1,1,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"71,25253718198724","490,2188567381022","433,91987890883627","71,25253718198724","468,8465520459507","433,9198789088363","71,25253718198724","60,89869268357202","66,07847981330636","64,09710237984058","61,67932638194623","57,2938559650674","82,6104709073549","106,1098321428232"
50,"0,01",63,-1,50,"1,0",1,"1,0","0,0","0,0",3 years,2024-01-01,"75,34040476718715","534,4740113959692","481,5961226083756","75,34040476718715","514,7846150495226","481,59612260837554","75,34040476718715","71,85384516064184","70,4079889072616","67,4440130653808","64,71409754174616","60,03822556040699","84,88388552772372","108,04077760714895"
50,"0,01",63,-1,20,"1,0",1,"1,0","0,0","0,0",3 years,2024-01-01,"75,36622637909646","534,8185727888923","481,9343980821367","75,36622637909646","515,1341450698756","481,93439808213674","75,36622637909646","71,91906792958434","70,43628544639103","67,45832284338874","64,72779888573649","60,05913941772933","84,90739877757962","108,05557135326568"
50,"0,01",127,-1,1,"1,0",1,"1,0","0,0","0,0",3 years,2024-01-01,"75,4424652116252","535,6839760197063","482,892526418859","75,4424652116252","516,0405275432774","482,89252641885895","75,4424652116252","71,76620448792579","70,52363573530005","67,5773909641128","64,85638717905132","60,19032992448014","85,02618331504758","108,15712487545872"
50,"0,01",127,-1,1,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"75,44765726005312","535,7904741619172","482,9706421085501","75,44765726005312","516,1263257368946","482,9706421085501","75,44765726005312","71,63396477301755","70,53992901185703","67,61458414884845","64,8867447912994","60,222835815408075","85,05451807124855","108,1810242086927"
50,"0,01",63,-1,50,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"75,45522378452364","535,9152354656742","483,0779997512035","75,45522378452364","516,2475955241197","483,07799975120355","75,45522378452365","71,6907291359644","70,55012587943217","67,60574319256276","64,88078936268295","60,222737608494256","85,05689926831111","108,17954204421785"
50,"0,01",63,-1,20,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"75,45916465105155","535,9507867756254","483,1184750127587","75,45916465105155","516,2890654649816","483,1184750127587","75,45916465105155","71,77357229022856","70,54710892496928","67,59609212904044","64,86471307738016","60,217428683367324","85,04568360310273","108,16955384927235"
50,"0,01",127,-1,20,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"75,56163959517721","537,3439806783041","484,52633653492893","75,56163959517721","517,6348943308758","484,5263365349289","75,56163959517721","71,0692906419533","70,53434950999208","67,88017856679022","65,16544251460994","60,52100040292921","85,34361455144467","108,417600978521"
50,"0,01",15,-1,50,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"75,56307014701542","537,3231039183715","484,43374329794887","75,56307014701542","517,7541178695908","484,43374329794887","75,56307014701542","72,35172116678365","70,60821235545241","67,5917423817163","64,87004529241123","60,265963588367114","85,07133609605935","108,18247014831795"
50,"0,01",15,-1,20,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"75,56307014701542","537,3231039183715","484,43374329794887","75,56307014701542","517,7541178695908","484,43374329794887","75,56307014701542","72,35172116678365","70,60821235545241","67,5917423817163","64,87004529241123","60,265963588367114","85,07133609605935","108,18247014831795"
50,"0,01",15,-1,1,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"75,56307014701542","537,3231039183715","484,43374329794887","75,56307014701542","517,7541178695908","484,43374329794887","75,56307014701542","72,35172116678365","70,60821235545241","67,5917423817163","64,87004529241123","60,265963588367114","85,07133609605935","108,18247014831795"
50,"0,01",127,-1,50,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"75,59008441861715","537,6728453454057","484,88713874517066","75,59008441861715","517,9537144304593","484,8871387451706","75,59008441861715","70,950613341875","70,5783172435034","67,934849740326","65,21789724167844","60,58784299399555","85,39805583599906","108,46301453294255"
50,"0,01",127,-1,50,"1,0",1,"1,0","0,0","0,0",3 years,2024-01-01,"75,63462440050037","538,0752269910379","485,3783911679905","75,63462440050037","518,4323607981618","485,37839116799057","75,63462440050036","71,237952590403","70,7642050460157","67,9050878454214","65,1906893137471","60,5376094340142","85,367146125201","108,43968044870014"
50,"0,01",127,-1,20,"1,0",1,"1,0","0,0","0,0",3 years,2024-01-01,"75,66945820551004","538,4898861217212","485,8128301190151","75,66945820551004","518,880136890236","485,812830119015","75,66945820551005","71,45130801632838","70,80102859716243","67,90181739554964","65,19046890411637","60,53998124355376","85,36419621340033","108,43740706845942"
50,"0,01",63,-1,1,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"75,75996959163862","539,6927921295726","486,9533244907215","75,75996959163862","520,0412812815887","486,9533244907215","75,75996959163861","72,13371685460255","70,79054932701715","67,83663023816152","65,16626822122083","60,56546581195188","85,38698685006914","108,44016983844722"
50,"0,01",15,-1,50,"1,0",1,"1,0","0,0","0,0",3 years,2024-01-01,"75,78307114938197","539,9662710416756","487,2256729334258","75,78307114938197","520,4597273320359","487,2256729334258","75,78307114938197","72,54976181378807","70,83931911377803","67,8123871863168","65,10046120410217","60,51062567906541","85,29912157004956","108,36982147857367"
50,"0,01",15,-1,20,"1,0",1,"1,0","0,0","0,0",3 years,2024-01-01,"75,78307114938197","539,9662710416756","487,2256729334258","75,78307114938197","520,4597273320359","487,2256729334258","75,78307114938197","72,54976181378807","70,83931911377803","67,8123871863168","65,10046120410217","60,51062567906541","85,29912157004956","108,36982147857367"
50,"0,01",15,-1,1,"1,0",1,"1,0","0,0","0,0",3 years,2024-01-01,"75,78307114938197","539,9662710416756","487,2256729334258","75,78307114938197","520,4597273320359","487,2256729334258","75,78307114938197","72,54976181378807","70,83931911377803","67,8123871863168","65,10046120410217","60,51062567906541","85,29912157004956","108,36982147857367"
50,"0,01",63,-1,1,"1,0",1,"1,0","0,0","0,0",3 years,2024-01-01,"75,80876682037615","540,3714371511608","487,59456333806725","75,80876682037615","520,6570035822203","487,5945633380672","75,80876682037615","72,08293737595187","70,803082221986","67,86766940736501","65,23495810268471","60,663928891633006","85,49064644234157","108,51814530067088"
