n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,subsample_freq,colsample_bytree,reg_alpha,reg_lambda,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
50,"0,01",127,-1,1,"0,8",1,"1,0","0,0","0,0","69,09013977260364","471,94633881288706","410,72330453575773","69,09013977260364","447,8772974656594","410,7233045357578","69,09013977260364","66,8475758096117","61,78513730126333","61,88321192610118","59,37176200944981","55,49591941356031","77,00014307972864","101,24722886851046"
500,"0,01",15,-1,20,"0,8",1,"1,0","0,0","0,0","69,09435048275029","346,26041976250565","276,83577337487566","69,09435048275029","315,00940117124213","276,83577337487566","69,09435048275029","55,40617413729693","59,76838857866932","63,67563915093972","63,43265956891358","72,88950789604404","81,93214129513254","86,55594275225583"
50,"0,01",15,-1,50,"0,8",1,"1,0","0,0","0,0","69,2287688168317","472,03330322108786","411,4712821766527","69,2287688168317","449,14315286438114","411,4712821766528","69,2287688168317","66,26164212981635","62,3961632986349","61,86035749434839","59,517054812795365","56,06059243409827","77,57194658934864","100,93362495878002"
50,"0,01",15,-1,1,"0,8",1,"1,0","0,0","0,0","69,43026278267506","473,8702281098015","413,6306350497481","69,43026278267506","451,11899117876277","413,6306350497481","69,43026278267506","66,34888681497189","62,53659316871254","62,09871522416249","59,822638280610086","56,35788980039605","77,7645163563157","101,08259983355664"
500,"0,01",15,-1,20,"1,0",1,"1,0","0,0","0,0","69,64666703181533","351,55925995736055","280,87982539239147","69,64666703181533","319,3846319104772","280,87982539239147","69,64666703181533","55,69652132367197","61,256970538498905","64,82231691283681","63,68730826961631","72,99129235536216","82,18476625164831","86,8874935710729"
500,"0,01",15,-1,1,"1,0",1,"1,0","0,0","0,0","69,66620488034177","348,8707752274213","279,66169077370023","69,66620488034177","317,5666516758521","279,66169077370023","69,66620488034177","56,38294907297934","60,90248093032599","64,2987054791178","64,03196715035894","73,18119102961401","81,99426003559515","86,87188046440116"
200,"0,1",15,-1,20,"1,0",1,"1,0","0,0","0,0","69,70560633656655","347,3102593811123","277,69456857393","69,70560633656655","317,0879727712506","277,69456857393","69,70560633656655","54,45899730922132","56,51411960979206","61,979520921364355","66,91191806714454","75,98451032572949","84,1981576115872","87,8920205111269"
500,"0,01",15,-1,50,"0,8",1,"1,0","0,0","0,0","69,95053879183479","351,4639540492924","281,7067205381422","69,95053879183479","320,1711195747433","281,7067205381422","69,95053879183479","57,82654945027228","61,506354803562175","63,48681584488877","64,04919330555252","74,27253561967461","82,24140253417244","86,27091998472072"
200,"0,1",15,-1,20,"0,8",1,"1,0","0,0","0,0","70,22339078430988","350,3632387686341","280,8900738375877","70,22339078430988","320,41407275972466","280,89007383758775","70,2233907843099","54,38779021947579","57,86389216539884","64,21396259268943","66,60830996618266","77,87734193589942","85,02867209235667","85,5837665181665"
50,"0,01",15,-1,20,"0,8",1,"1,0","0,0","0,0","70,31260041084082","484,7584775216488","423,9884930759837","70,31260041084082","461,33733680946506","423,98849307598357","70,31260041084082","67,771098253997","63,12313036792292","62,72048642210074","60,90802465159656","57,70493380983166","78,29016698469148","101,67036238574538"
