"Name","State","Created","combination","batch_size","dropout","hidden_size","layers","learning_rate","sequence_length","best_epoch","best_val_SMAPE","Runtime","epoch","patience_counter","User","Sweep","Notes","Tags","num_combinations","patience","predict_period","price_zone","split_setup","stride","train_window","val_start","val_window","epochs_trained","max_epochs","val_SMAPE"
"DK1_rnn_hyperparameter_search_comb_022","finished","2026-04-25T16:58:37.000Z","22","64","0.2","16","2","0.001","24","57","72.53018548027842","989","60","3","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","60","74.33316536957018"
"DK1_rnn_hyperparameter_search_comb_021","finished","2026-04-25T16:42:10.000Z","21","64","0","16","2","0.001","24","60","73.00479859360247","985","60","0","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","60","73.00479859360247"
"DK1_rnn_hyperparameter_search_comb_020","finished","2026-04-25T16:11:19.000Z","20","32","0.2","16","2","0.001","168","52","66.13101102551707","1850","60","8","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","60","68.75151504000952"
"DK1_rnn_hyperparameter_search_comb_019","finished","2026-04-25T15:41:11.000Z","19","32","0","16","2","0.001","168","53","65.65503175393503","1807","60","7","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","60","69.57656996933203"
"DK1_rnn_hyperparameter_search_comb_018","finished","2026-04-25T15:26:24.000Z","18","32","0.2","16","2","0.001","24","42","66.78222619104714","882","50","8","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","50","60","69.21210351133946"
"DK1_rnn_hyperparameter_search_comb_017","finished","2026-04-25T15:09:26.000Z","17","32","0","16","2","0.001","24","50","66.55076521512726","1017","58","8","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","58","60","67.17971170076613"
"DK1_rnn_hyperparameter_search_comb_015","finished","2026-04-25T14:49:15.000Z","15","64","0","16","1","0.0005","168","60","99.55520111309548","1210","60","0","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","60","99.55520111309548"
"DK1_rnn_hyperparameter_search_comb_013","finished","2026-04-25T14:33:22.000Z","13","64","0","16","1","0.0005","24","60","100.92851733131884","950","60","0","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","60","100.92851733131884"
"DK1_rnn_hyperparameter_search_comb_011","finished","2026-04-25T14:10:12.000Z","11","32","0","16","1","0.0005","168","60","72.95088075692806","1389","60","0","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","60","72.95088075692806"
"DK1_rnn_hyperparameter_search_comb_009","finished","2026-04-25T13:53:44.000Z","9","32","0","16","1","0.0005","24","55","74.47785467435519","986","60","5","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","60","76.88789586213264"
"DK1_rnn_hyperparameter_search_comb_007","finished","2026-04-25T13:33:31.000Z","7","64","0","16","1","0.001","168","60","74.71259549325488","1211","60","0","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","60","74.71259549325488"
"DK1_rnn_hyperparameter_search_comb_005","finished","2026-04-25T13:17:46.000Z","5","64","0","16","1","0.001","24","60","78.58867136865895","944","60","0","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","60","78.58867136865895"
"DK1_rnn_hyperparameter_search_comb_003","finished","2026-04-25T12:59:39.000Z","3","32","0","16","1","0.001","168","39","67.97249890169344","1086","47","8","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","47","60","71.06356304085742"
"DK1_rnn_hyperparameter_search_comb_001","finished","2026-04-25T12:42:56.000Z","1","32","0","16","1","0.001","24","55","66.33534182308645","1001","60","5","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","60","68.53810037175234"
"DK1_rnn_hyperparameter_search_comb_001","finished","2026-04-24T08:05:08.000Z","1","32","0","16","1","0.001","24","38","73.78099064161053","748","44","6","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","6","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","44","60","75.41046914438093"
"DK1_rnn_hyperparameter_search_comb_001","finished","2026-04-23T15:04:54.000Z","1","32","0","16","1","0.001","24","38","71.69595244333598","536","44","6","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","6","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","44","60","74.67860565279399"
