max_depth,learning_rate,n_estimators,subsample,colsample_bytree,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
3,"0,1",200,"0,7","1,0","63,43514505432408","378,7871759515174","266,2293131897036","63,43514505432408","308,6207582586516","266,2293131897036","63,43514505432409","49,39899007079898","48,059707140669246","64,03863332410205","54,29314968386031","70,03093181753647","78,31670068292979","79,90790266037175"
5,"0,1",600,"0,9","0,7","63,44363900571394","385,070520654572","261,4947859430514","63,44363900571394","308,6719051276806","261,4947859430514","63,44363900571394","46,97810214108729","46,757634151857516","61,87941722911428","55,01672738071061","74,15794258348151","78,62019641835198","80,69545313539446"
7,"0,1",200,"1,0","0,7","63,47799789029661","382,9412748621593","260,5244276379433","63,47799789029661","307,12950001417664","260,52442763794335","63,477997890296606","46,88915898003337","47,79401734165698","62,26915304736654","53,43543409392245","72,68455037590812","79,02658198459179","82,24708940859703"
7,"0,05",600,"1,0","0,9","63,49524383651905","390,4649666494789","264,35505110755093","63,49524383651905","311,9219430709014","264,355051107551","63,495243836519066","47,524418803306254","46,940119278919525","63,13612365223544","55,038234074838414","72,29005766755051","76,15776139123184","83,37999198755143"
7,"0,05",400,"0,7","1,0","63,54473698180963","377,1198957267562","261,35367974586865","63,54473698180963","306,9543118242661","261,35367974586865","63,54473698180963","47,840194883682","46,230957846768064","62,825247279651265","55,80100685739768","73,13420079367623","77,28854742746327","81,69300378402885"
5,"0,05",200,"0,9","0,7","63,624569301462785","373,96697045600354","261,49028728999485","63,624569301462785","305,0933617065858","261,4902872899948","63,62456930146278","47,892243472399144","46,47625491076923","61,514858767490665","56,84752208109272","72,99608924537668","79,14120869080247","80,50380794230853"
7,"0,2",200,"1,0","1,0","63,62716574079176","373,9311168571952","259,8344748725748","63,62716574079176","305,6966884265795","259,8344748725748","63,62716574079176","47,77031922415692","47,20023836630757","63,14758620322837","56,24536663365639","72,45025422416231","73,95835523087422","84,61804030315653"
5,"0,2",600,"0,9","0,7","63,63331703830282","397,49422134207293","263,17420061995966","63,63331703830282","313,1410133388936","263,17420061995966","63,63331703830282","46,30501209697971","47,440911079611915","62,90708252729505","55,66042395765031","75,33437723931524","76,88200094481408","80,90341142245344"
7,"0,05",400,"1,0","0,9","63,633652288150586","388,578684698619","263,96657367283194","63,633652288150586","311,2376825557941","263,966573672832","63,63365228815058","47,53359931721158","46,81922274350806","62,92259331835849","55,070497740699025","72,33689104778901","77,83759025709287","82,91517159239504"
5,"0,2",200,"0,9","1,0","63,657923077493976","397,19740087051713","266,04639988952124","63,657923077493976","315,0639711391055","266,04639988952124","63,65792307749398","47,251383699083355","46,18413130334692","61,512490656468096","52,83166383930461","73,44642744715577","81,2518661224164","83,12749847468272"
7,"0,05",200,"0,9","0,9","63,67643664981084","387,0370409145451","265,1644768333741","63,67643664981084","311,3577002432431","265,1644768333741","63,67643664981084","48,250141614367166","47,55424245596447","62,61471536676318","55,010533189530655","72,41586824554575","77,94630579515554","81,94324988134915"
7,"0,1",200,"1,0","0,9","63,678379721369524","388,68587123956013","264,1611666571631","63,678379721369524","310,96600767474746","264,16116665716305","63,678379721369524","47,46296992746963","47,71093389768406","62,0533023297732","54,86413084643386","73,65044308255968","76,735275990716","83,27160197495022"
3,"0,2",400,"1,0","0,7","63,678777724101664","386,7226104550956","261,97766296208187","63,678777724101664","309,64408342176176","261,97766296208187","63,67877772410167","46,703879329750436","46,39245795413433","62,13132252747434","54,474171407422794","76,41792707022378","79,18683516573648","80,44485061396949"
7,"0,05",400,"0,9","0,9","63,693702799691565","387,49025840404886","265,5510647946095","63,693702799691565","311,65122821195365","265,5510647946095","63,69370279969157","47,865409877986934","48,17065585865923","62,84333323025353","55,20647891164437","73,00839241190829","76,77120663020531","81,99044267718335"
