"Name","Created","batch_size","dense_layers","dropout","latent_dim","learning_rate","best_val_smape","val_smape","State","Notes","User","Tags","Runtime","Sweep","fe_input_size","max_epochs","num_combinations","patience","price_zone","train_samples","val_samples","best_epoch","epoch","epochs_trained","train_smape","combination"
"DK1_latentdim16_dense1_lr0.001_batchsize64_dropout0.0_comb027","2026-05-09T10:21:14.000Z","64","1","0","16","0.001","52.2417106628418","64.80811309814453","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","22","","33","60","96","10","DK1","20649","2295","45","55","55","63.74714564981844","27"
"DK1_latentdim48_dense2_lr0.0005_batchsize32_dropout0.0_comb049","2026-05-09T13:02:37.000Z","32","2","0","48","0.0005","52.43850326538086","59.49415969848633","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","47","","33","60","80","10","DK1","20649","2295","40","50","50","57.586945170588535","49"
"DK1_latentdim16_dense1_lr0.0005_batchsize32_dropout0.0_comb029","2026-05-09T10:21:59.000Z","32","1","0","16","0.0005","53.10921478271485","58.66831970214844","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","47","","33","60","96","10","DK1","20649","2295","59","60","60","56.850028525195995","29"
"DK1_latentdim16_dense1_lr0.0005_batchsize32_dropout0.2_comb030","2026-05-09T10:22:47.000Z","32","1","0.2","16","0.0005","53.10921478271485","58.66831970214844","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","45","","33","60","96","10","DK1","20649","2295","59","60","60","56.850028525195995","30"
"DK1_latentdim64_dense2_lr0.001_batchsize32_dropout0.0_comb065","2026-05-09T13:12:46.000Z","32","2","0","64","0.001","53.68181610107422","58.359134674072266","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","52","","33","60","80","10","DK1","20649","2295","43","53","53","52.57101642384249","65"
"DK1_latentdim64_dense2_lr0.0005_batchsize32_dropout0.0_comb069","2026-05-09T13:15:08.000Z","32","2","0","64","0.0005","53.74702835083008","59.242042541503906","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","44","","33","60","80","10","DK1","20649","2295","36","46","46","46.53774387253327","69"
"DK1_latentdim64_dense2_lr0.001_batchsize64_dropout0.0_comb067","2026-05-09T13:14:18.000Z","64","2","0","64","0.001","54.888092041015625","58.09053421020508","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","17","","33","60","80","10","DK1","20649","2295","23","33","33","50.21144031961636","67"
"DK1_latentdim32_dense2_lr0.0005_batchsize64_dropout0.0_comb087","2026-05-09T10:57:23.000Z","64","2","0","32","0.0005","57.92132568359375","58.68642807006836","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","31","","33","60","96","10","DK1","20649","2295","58","60","60","47.931216780246224","87"
"DK1_latentdim32_dense2_lr0.001_batchsize32_dropout0.0_comb081","2026-05-09T10:53:03.000Z","32","2","0","32","0.001","59.15240859985352","60.469478607177734","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","45","","33","60","96","10","DK1","20649","2295","39","49","49","52.97880178044086","81"
"DK1_latentdim24_dense2_lr0.001_batchsize32_dropout0.0_comb057","2026-05-09T10:38:12.000Z","32","2","0","24","0.001","59.91907501220703","64.38420867919922","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","56","","33","60","96","10","DK1","20649","2295","56","60","60","57.79621587818252","57"
"DK1_latentdim33_dense2_lr0.001_batchsize64_dropout0.0_comb007","2026-05-09T12:35:37.000Z","64","2","0","33","0.001","60.12442779541016","62.63446807861328","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","23","","33","60","80","10","DK1","20649","2295","37","47","47","59.471071449964775","7"
"DK1_latentdim24_dense1_lr0.0005_batchsize32_dropout0.2_comb054","2026-05-09T10:37:24.000Z","32","1","0.2","24","0.0005","60.585567474365234","85.56597137451172","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","27","","33","60","96","10","DK1","20649","2295","26","36","36","82.43266860914673","54"
"DK1_latentdim24_dense1_lr0.0005_batchsize32_dropout0.0_comb053","2026-05-09T10:36:57.000Z","32","1","0","24","0.0005","60.585567474365234","85.56597137451172","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","26","","33","60","96","10","DK1","20649","2295","26","36","36","82.43266860914673","53"
"DK1_latentdim64_dense1_lr0.0005_batchsize32_dropout0.0_comb063","2026-05-09T13:12:05.000Z","32","1","0","64","0.0005","63.45664596557617","78.9327392578125","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","22","","33","60","80","10","DK1","20649","2295","20","30","30","81.76688855646564","63"
"DK1_latentdim48_dense2_lr0.001_batchsize32_dropout0.0_comb045","2026-05-09T12:59:58.000Z","32","2","0","48","0.001","64.01200103759766","65.89936065673828","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","34","","33","60","80","10","DK1","20649","2295","25","35","35","55.04076138074184","45"
"DK1_latentdim24_dense2_lr0.0005_batchsize64_dropout0.0_comb063","2026-05-09T10:43:02.000Z","64","2","0","24","0.0005","64.54145812988281","64.81645202636719","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","30","","33","60","96","10","DK1","20649","2295","52","60","60","52.928097031064816","63"
"DK1_latentdim24_dense3_lr0.001_batchsize64_dropout0.0_comb067","2026-05-09T10:45:30.000Z","64","3","0","24","0.001","65.08546447753906","65.50806427001953","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","29","","33","60","96","10","DK1","20649","2295","38","48","48","63.98336148335838","67"
"DK1_latentdim32_dense2_lr0.0005_batchsize32_dropout0.0_comb085","2026-05-09T10:55:45.000Z","32","2","0","32","0.0005","65.31112670898438","70.40154266357422","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","38","","33","60","96","10","DK1","20649","2295","32","42","42","52.34137490216423","85"
"DK1_latentdim24_dense2_lr0.001_batchsize64_dropout0.0_comb059","2026-05-09T10:40:08.000Z","64","2","0","24","0.001","65.39273834228516","65.39273834228516","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","30","","33","60","96","10","DK1","20649","2295","60","60","60","52.31538487956989","59"
"DK1_latentdim24_dense2_lr0.0005_batchsize32_dropout0.0_comb061","2026-05-09T10:41:06.000Z","32","2","0","24","0.0005","65.57313537597656","73.57698822021484","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","56","","33","60","96","10","DK1","20649","2295","57","60","60","56.4107127883486","61"
"DK1_latentdim16_dense1_lr0.0005_batchsize64_dropout0.0_comb031","2026-05-09T10:23:33.000Z","64","1","0","16","0.0005","66.1808853149414","66.1808853149414","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","26","","33","60","96","10","DK1","20649","2295","60","60","60","69.9177183027238","31"
"DK1_latentdim16_dense1_lr0.0005_batchsize64_dropout0.2_comb032","2026-05-09T10:24:00.000Z","64","1","0.2","16","0.0005","66.1808853149414","66.1808853149414","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","26","","33","60","96","10","DK1","20649","2295","60","60","60","69.9177183027238","32"
"DK1_latentdim24_dense3_lr0.0005_batchsize64_dropout0.0_comb071","2026-05-09T10:48:38.000Z","64","3","0","24","0.0005","66.41194915771484","67.64369201660156","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","36","","33","60","96","10","DK1","20649","2295","59","60","60","66.05366995607736","71"
"DK1_latentdim38_dense1_lr0.0005_batchsize64_dropout0.0_comb024","2026-05-09T12:45:57.000Z","64","1","0","38","0.0005","66.92155456542969","71.3442611694336","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","22","","33","60","80","10","DK1","20649","2295","46","56","56","80.3053141732703","24"
"DK1_latentdim38_dense3_lr0.001_batchsize64_dropout0.0_comb035","2026-05-09T12:53:50.000Z","64","3","0","38","0.001","66.96696472167969","69.82789611816406","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","35","","33","60","80","10","DK1","20649","2295","50","60","60","57.01829624471281","35"
"DK1_latentdim48_dense3_lr0.0005_batchsize32_dropout0.0_comb057","2026-05-09T13:08:30.000Z","32","3","0","48","0.0005","67.02743530273438","70.71302795410156","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","67","","33","60","80","10","DK1","20649","2295","58","60","60","56.20588250647389","57"
"DK1_latentdim32_dense3_lr0.001_batchsize32_dropout0.0_comb089","2026-05-09T10:58:31.000Z","32","3","0","32","0.001","67.2245864868164","72.14659118652344","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","67","","33","60","96","10","DK1","20649","2295","59","60","60","65.55027484598544","89"
"DK1_latentdim16_dense2_lr0.0005_batchsize64_dropout0.0_comb039","2026-05-09T10:28:29.000Z","64","2","0","16","0.0005","67.37992095947266","67.37992095947266","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","30","","33","60","96","10","DK1","20649","2295","60","60","60","61.429625472786256","39"
"DK1_latentdim16_dense2_lr0.001_batchsize32_dropout0.0_comb033","2026-05-09T10:24:26.000Z","32","2","0","16","0.001","67.61540985107422","71.3954086303711","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","35","","33","60","96","10","DK1","20649","2295","22","32","32","63.697299614779354","33"
"DK1_latentdim48_dense1_lr0.0005_batchsize64_dropout0.0_comb044","2026-05-09T12:59:42.000Z","64","1","0","48","0.0005","68.11148071289062","78.72652435302734","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","15","","33","60","80","10","DK1","20649","2295","27","37","37","80.98415053518195","44"
"DK1_latentdim64_dense3_lr0.0005_batchsize32_dropout0.0_comb077","2026-05-09T13:20:39.000Z","32","3","0","64","0.0005","68.4394302368164","69.32573699951172","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","57","","33","60","80","10","DK1","20649","2295","41","51","51","52.52999562006617","77"
"DK1_latentdim64_dense3_lr0.001_batchsize32_dropout0.0_comb073","2026-05-09T13:17:49.000Z","32","3","0","64","0.001","68.67022705078125","70.7023696899414","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","60","","33","60","80","10","DK1","20649","2295","43","53","53","58.29989836607186","73"
"DK1_latentdim48_dense3_lr0.001_batchsize32_dropout0.0_comb053","2026-05-09T13:05:07.000Z","32","3","0","48","0.001","68.76039123535156","72.34001922607422","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","67","","33","60","80","10","DK1","20649","2295","59","60","60","53.24821476301542","53"
"DK1_latentdim33_dense1_lr0.0005_batchsize32_dropout0.0_comb003","2026-05-09T12:33:27.000Z","32","1","0","33","0.0005","69.16725158691406","80.55746459960938","finished","-","","autoencoder, feature-encoder, hyperparameter-search, smape","20","","33","60","80","10","DK1","20649","2295","18","28","28","93.2064290592914","3"
